PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,4221647806,-0.342862,-0.608143,0.275364,-0.6609,9.773008347,0.523981512,1.099270344,-1.023608923,0.1723838,0.200047165,-2.039550781,0.824707031,-0.395996094
2,4221656139,-0.342886,-0.608126,0.2754,-0.660888,9.758072853,0.519682646,1.087711334,-0.858499467,0.218182042,0.103302211,-2.039550781,0.827148438,-0.395996094
3,4221664472,-0.342907,-0.608117,0.275434,-0.660872,9.773859024,0.566576719,1.073491573,-0.781733632,0.112369649,0.094900735,-2.03515625,0.826660156,-0.396972656
4,4221672805,-0.342927,-0.608099,0.275484,-0.660857,9.764195442,0.537128448,1.088834405,-0.952017188,0.116826534,0.248739854,-2.040039063,0.828613281,-0.392578125
5,4221681138,-0.342939,-0.608093,0.275538,-0.660833,9.777814865,0.548730373,1.089199424,-0.909804821,-0.104518883,0.278734088,-2.040039063,0.825683594,-0.395996094
6,4221689471,-0.34295,-0.60808,0.27559,-0.660818,9.785225868,0.552535653,1.070530057,-0.882102966,0.036948532,0.333843112,-2.0390625,0.826171875,-0.395996094
7,4221697804,-0.342962,-0.60807,0.275641,-0.6608,9.781212807,0.525497854,1.091344833,-0.879515946,-0.02256614,0.305283248,-2.0390625,0.827148438,-0.394042969
8,4221706137,-0.342979,-0.608069,0.275686,-0.660773,9.785375595,0.531327486,1.066038251,-0.861547589,-0.116864935,0.115340896,-2.041015625,0.827148438,-0.396972656
9,4221714470,-0.34299,-0.608069,0.275725,-0.66075,9.777328491,0.536827981,1.064629436,-0.729788065,-0.090302996,0.154479459,-2.040039063,0.826660156,-0.395507813
10,4221722803,-0.343003,-0.608067,0.275766,-0.660729,9.769739151,0.56629771,1.10261786,-0.765135646,-0.049192142,0.148767486,-2.036621094,0.828125,-0.394042969
11,4221731136,-0.34302,-0.608065,0.275813,-0.660703,9.788128853,0.509990633,1.056367397,-0.880066693,-0.116685644,0.147691682,-2.037109375,0.828613281,-0.396484375
12,4221739469,-0.343043,-0.608057,0.275853,-0.660681,9.771692276,0.533866763,1.070573211,-0.878837228,0.032325167,0.076202355,-2.0390625,0.828613281,-0.394042969
13,4221747802,-0.343064,-0.608052,0.275891,-0.660658,9.778029442,0.530812502,1.054865479,-0.833218217,-0.010898856,0.064880855,-2.040527344,0.825195313,-0.395019531
14,4221756135,-0.343083,-0.608044,0.275932,-0.66064,9.794395447,0.536134064,1.068112373,-0.827250242,0.046131242,0.136908084,-2.038574219,0.829589844,-0.395019531
15,4221764468,-0.343106,-0.608034,0.275966,-0.660622,9.767843246,0.507866144,1.036704421,-0.806809962,0.112472102,0.058118694,-2.038085938,0.828125,-0.39453125
16,4221772801,-0.343123,-0.608027,0.276003,-0.660604,9.773587227,0.518824339,1.094678283,-0.786472201,0.044671223,0.11636547,-2.040039063,0.829589844,-0.391601563
17,4221781134,-0.343143,-0.608024,0.276032,-0.660585,9.750669479,0.530469,1.071209669,-0.700305998,0.047949851,0.01221799,-2.038574219,0.827148438,-0.394042969
18,4221789467,-0.343152,-0.608025,0.276059,-0.660568,9.785096169,0.514861643,1.069435835,-0.591957808,0.001792996,0.081427649,-2.040039063,0.826171875,-0.396972656
19,4221797800,-0.343161,-0.608034,0.276077,-0.660547,9.771241188,0.51927495,1.086009145,-0.472492963,-0.06602069,-0.035206765,-2.040527344,0.825683594,-0.39453125
20,4221806133,-0.34317,-0.60804,0.276102,-0.660527,9.774917603,0.531964064,1.068212867,-0.540370703,-0.051138818,0.028483029,-2.0390625,0.828613281,-0.396484375
21,4221814466,-0.343175,-0.608044,0.276124,-0.660512,9.751821518,0.53945303,1.078119159,-0.477205992,-0.014869063,0.083809778,-2.041992188,0.825683594,-0.396484375
22,4221822799,-0.343187,-0.608052,0.276141,-0.660491,9.75905323,0.518051803,1.057240248,-0.497108281,-0.031467088,-0.069581069,-2.040039063,0.827636719,-0.395507813
23,4221831132,-0.343204,-0.608063,0.276151,-0.660468,9.78342247,0.528094411,1.053570867,-0.458123356,-0.038972061,-0.202826306,-2.036621094,0.828125,-0.391601563
24,4221839465,-0.343221,-0.60807,0.27616,-0.660448,9.779788971,0.526342094,1.072575808,-0.460018843,0.039445922,-0.16858007,-2.041503906,0.826660156,-0.394042969
25,4221847798,-0.34323,-0.608076,0.276174,-0.660432,9.773237228,0.507329702,1.066445947,-0.430050194,0.028124427,-0.035667822,-2.037109375,0.825683594,-0.396484375
26,4221856131,-0.343237,-0.608078,0.276192,-0.660419,9.793651581,0.502659023,1.063227296,-0.461248338,0.050972324,0.029891813,-2.038574219,0.826171875,-0.394042969
27,4221864464,-0.343245,-0.608085,0.276201,-0.660405,9.796913147,0.538372815,1.097095847,-0.359598249,0.049973372,-0.057734482,-2.040527344,0.825683594,-0.394042969
28,4221872797,-0.343252,-0.608094,0.276207,-0.66039,9.778150558,0.518345058,1.062290192,-0.323085129,0.036218528,-0.095477045,-2.041015625,0.828613281,-0.397460938
29,4221881130,-0.343255,-0.608107,0.276206,-0.660377,9.764324188,0.528931379,1.068741798,-0.205157205,0.037422396,-0.120783933,-2.040527344,0.828613281,-0.39453125
30,4221889463,-0.343261,-0.60812,0.276215,-0.660359,9.788500786,0.537600517,1.067254186,-0.326696724,-0.050011791,-0.090328589,-2.0390625,0.828125,-0.39453125
31,4221897796,-0.343264,-0.608139,0.276219,-0.660338,9.773151398,0.531627893,1.071245551,-0.259510607,-0.104185902,-0.130363643,-2.040039063,0.825683594,-0.393066406
32,4221906129,-0.343269,-0.608145,0.276227,-0.660327,9.792849541,0.547020793,1.070816398,-0.322700948,0.073128633,-0.03646186,-2.041992188,0.827148438,-0.394042969
33,4221914462,-0.343276,-0.608148,0.276242,-0.660314,9.770525932,0.533952594,1.066209912,-0.41893363,0.070362307,0.017827507,-2.039550781,0.828125,-0.392578125
34,4221922795,-0.343287,-0.608157,0.276249,-0.660297,9.781205177,0.505412757,1.048520923,-0.380025625,0.015624683,-0.127264321,-2.041503906,0.827636719,-0.395019531
35,4221931128,-0.343293,-0.608175,0.276248,-0.660277,9.781705856,0.522615254,1.033692718,-0.2328206,-0.04942267,-0.205900028,-2.039550781,0.827148438,-0.39453125
36,4221939461,-0.3433,-0.608191,0.276252,-0.660257,9.780833244,0.539467394,1.048585296,-0.294627756,-0.070426345,-0.164609879,-2.039550781,0.827636719,-0.393554688
37,4221947794,-0.343308,-0.608203,0.276257,-0.66024,9.775783539,0.535976768,1.066195965,-0.314888597,0.002587038,-0.128775567,-2.040039063,0.829101563,-0.394042969
38,4221956127,-0.34331,-0.608219,0.276271,-0.660219,9.770104408,0.51776588,1.047905803,-0.344473004,-0.132387176,-0.033132009,-2.038574219,0.828125,-0.39453125
