PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,319538535,0.74895215,0.014313362,-0.003346088,-0.662461162,0,0,0,0,0,0,-0.915039063,0.113769531,-1.564453125, 
1,319546868,0.748960555,0.014228879,-0.003487194,-0.662452877,-0.100765944,0.207021698,9.618782997,0.41399011,-2.221369267,0.193912581,-0.9140625,0.108886719,-1.565917969, 
2,319555201,0.748941123,0.014133778,-0.003711588,-0.662475646,-0.119133182,0.211700797,9.609639168,1.067870259,-3.182286739,-0.363158613,-0.9140625,0.111328125,-1.564941406, 
3,319563534,0.748559296,0.013671636,-0.003755495,-0.662916422,-0.103784621,0.233827457,9.56385231,1.617167473,-2.692312002,-0.258447647,-0.913574219,0.114257813,-1.561035156, 
4,319571867,0.748561859,0.013739358,-0.003990984,-0.662910819,-0.095486365,0.278756112,9.457566261,2.843730927,-1.805598736,0.121142529,-0.9140625,0.110351563,-1.563476563, 
5,319580200,0.74868691,0.013544112,-0.0041247,-0.662772655,-0.148673654,0.299088001,9.294528008,3.34249115,-0.998929501,0.563064873,-0.913085938,0.11328125,-1.562011719, 
6,319588533,0.748714507,0.013644764,-0.004283566,-0.662738442,-0.116433784,0.295513302,9.25776577,2.480341911,-0.711717129,0.628816605,-0.915527344,0.111328125,-1.5625, 
7,319596866,0.748793364,0.013901119,-0.004558473,-0.662642181,-0.109848469,0.280830175,9.248548508,1.896823764,-0.591816902,0.673282981,-0.913574219,0.113769531,-1.561035156, 
8,319605199,0.748818398,0.013910479,-0.004654841,-0.662613034,-0.096684977,0.269039869,9.299811363,0.972047329,-0.899776816,0.546313167,-0.915527344,0.114746094,-1.5625, 
9,319613532,0.748961866,0.014108023,-0.00493629,-0.662444651,-0.111754559,0.265455455,9.356609344,0.322803378,-1.477813244,0.831066668,-0.916992188,0.110839844,-1.5625, 
10,319621865,0.749001086,0.014053854,-0.005004927,-0.662400961,-0.100619018,0.212517798,9.415308952,0.062281009,-1.189166427,0.822716415,-0.916503906,0.110351563,-1.564453125, 
11,319630198,0.749050081,0.014174212,-0.005146724,-0.662341774,-0.073209345,0.19632408,9.499554634,-0.004456877,-0.390770763,0.839775443,-0.9140625,0.11328125,-1.564941406, 
12,319638531,0.74909246,0.014175105,-0.00518996,-0.662293434,-0.021379847,0.185265779,9.497666359,0.397238344,-0.423736274,0.890286863,-0.912109375,0.11328125,-1.563476563, 
13,319646864,0.749230444,0.014127394,-0.005282644,-0.662137628,-0.044619434,0.173005819,9.484912872,1.108417511,-0.755389392,0.873688698,-0.910644531,0.112792969,-1.564453125, 
14,319655197,0.749253213,0.014111422,-0.00540702,-0.662111223,-0.071186222,0.16470854,9.463004112,0.96492666,-1.419720173,0.505893946,-0.912597656,0.11328125,-1.563476563, 
15,319663530,0.749350369,0.013832296,-0.005562323,-0.662006021,-0.087829776,0.173051059,9.46117115,1.174118042,-1.990635872,0.311405063,-0.915039063,0.110839844,-1.563964844, 
16,319671863,0.749356925,0.013813556,-0.005764839,-0.661997318,-0.149428308,0.202227041,9.464913368,1.649159789,-2.255128384,0.189916745,-0.916503906,0.11328125,-1.560058594, 
17,319680196,0.74937886,0.013556028,-0.005881417,-0.661976755,-0.208838388,0.228365093,9.391759872,1.883863091,-1.896298528,0.190659553,-0.912109375,0.113769531,-1.564453125, 
18,319688529,0.74940604,0.013584236,-0.006002328,-0.66194433,-0.180521727,0.2497399,9.356799126,1.388534784,-0.980410397,0.602869451,-0.912597656,0.111816406,-1.565917969, 
19,319696862,0.749535739,0.013490164,-0.005909004,-0.661800027,-0.224241629,0.253775716,9.369737625,1.14573741,-0.239928544,1.105138898,-0.913085938,0.112792969,-1.564453125, 
20,319705195,0.749579489,0.013520629,-0.005976173,-0.661749303,-0.192819476,0.238783494,9.356855392,0.922394216,-0.402322769,0.930411458,-0.911621094,0.111328125,-1.564453125, 
21,319713528,0.749668896,0.013475439,-0.005852855,-0.661650062,-0.157384008,0.221802503,9.387928009,0.503998518,-0.826391935,0.987697661,-0.913085938,0.111328125,-1.561523438, 
22,319721861,0.749719262,0.013437259,-0.005938798,-0.66159302,-0.163556904,0.220686659,9.384293556,0.384047031,-1.219544888,1.064104915,-0.914550781,0.114257813,-1.566894531, 
23,319730194,0.749775231,0.01337421,-0.005830914,-0.661531866,-0.139760122,0.223443449,9.446516991,0.127904668,-1.527427912,1.06031394,-0.915039063,0.111328125,-1.564941406, 
24,319738527,0.749826968,0.013342338,-0.005934892,-0.661472917,-0.157915428,0.19506219,9.472364426,0.611834407,-1.347616076,1.099990487,-0.912597656,0.110839844,-1.565429688, 
25,319746860,0.749848485,0.013309517,-0.005853457,-0.66144985,-0.126021743,0.176006392,9.54194355,0.52208209,-1.501070857,0.598899245,-0.91015625,0.112792969,-1.563476563, 
26,319755193,0.749864519,0.013265375,-0.006016046,-0.661431134,-0.078602925,0.182222351,9.563691139,1.022456169,-2.072729349,0.372827977,-0.912109375,0.115722656,-1.563964844, 
27,319763526,0.749894917,0.013258453,-0.006019611,-0.661396921,-0.079857357,0.200163692,9.523334503,1.694368839,-2.023165941,0.243373647,-0.911621094,0.11328125,-1.5625, 
28,319771859,0.749894381,0.013254134,-0.006236009,-0.661395669,-0.092845164,0.192171007,9.492301941,1.924666405,-2.269830942,0.048295639,-0.911132813,0.110351563,-1.56640625, 
29,319780192,0.749910831,0.013225082,-0.006335385,-0.661376476,-0.071802028,0.199955225,9.483008385,2.358085155,-2.718361855,-0.100817636,-0.913085938,0.11328125,-1.563964844, 
30,319788525,0.749900639,0.013257768,-0.006610221,-0.661384523,-0.111976489,0.234854475,9.400620461,2.838569403,-2.5388062,-0.128865212,-0.9140625,0.111328125,-1.563964844, 
31,319796858,0.749931335,0.013301725,-0.006689932,-0.661348224,-0.089937277,0.267054111,9.277591705,2.893166065,-1.536546707,0.115558609,-0.912109375,0.115234375,-1.562988281, 
32,319805191,0.749951184,0.013396213,-0.006849293,-0.661322296,-0.138353705,0.32842958,9.184043884,2.423247337,-0.779056907,0.467088372,-0.912597656,0.113769531,-1.565917969, 
33,319813524,0.750036418,0.013320483,-0.006892561,-0.66122663,-0.200911209,0.332497686,9.11296463,1.023147821,-2.145550966,0.557942092,-0.911621094,0.111328125,-1.564453125, 
34,319821857,0.750046313,0.013126941,-0.007076807,-0.661217332,-0.156458944,0.28245312,9.230291367,-0.321125597,-3.657712221,0.237969026,-0.912597656,0.114746094,-1.565429688, 
35,319830190,0.750076413,0.012888458,-0.007109557,-0.66118741,-0.118725374,0.229088649,9.388001442,-1.30327785,-3.710478067,0.199009791,-0.913085938,0.114746094,-1.564453125, 
36,319838523,0.750087798,0.012671513,-0.007254404,-0.661177099,-0.149595901,0.185143933,9.580924988,-0.922368705,-3.46496582,0.255745351,-0.912597656,0.113769531,-1.563476563, 
37,319846856,0.750151098,0.012548426,-0.007317873,-0.661107004,-0.086745135,0.151980355,9.683299065,0.051907249,-3.014155149,0.210997239,-0.9140625,0.113769531,-1.561523438, 
38,319855189,0.750169694,0.012488972,-0.007523283,-0.661084771,-0.091729403,0.15146628,9.701713562,1.253445387,-2.654659033,0.43911761,-0.916503906,0.112304688,-1.563964844, 
39,319863522,0.750213802,0.012562829,-0.007632388,-0.661032081,-0.074782938,0.168523103,9.657522202,2.694143534,-1.652194977,0.393319368,-0.913574219,0.110839844,-1.561523438, 
