PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,4221639473,-0.634835,-0.285441,0.689535,-0.200145,9.782249451,0.844693542,-1.14874661,-1.404005766,-0.115994066,-0.373365879,-1.013183594,-0.84765625,0.157714844
2,4221647806,-0.634859,-0.2854,0.689543,-0.200101,9.774438858,0.858033597,-1.15423286,-1.257646203,-0.056056757,-0.137177035,-1.011230469,-0.850585938,0.160644531
3,4221656139,-0.634886,-0.28535,0.689553,-0.200052,9.813349724,0.856366992,-1.159518719,-1.249552011,-0.005443025,-0.133514196,-1.012695313,-0.849121094,0.16015625
4,4221664472,-0.634919,-0.285307,0.689559,-0.199989,9.791240692,0.8805722,-1.146371841,-1.465889931,-0.021964207,-0.321599543,-1.009277344,-0.851074219,0.161132813
5,4221672805,-0.634958,-0.285256,0.689563,-0.199923,9.804767609,0.879929483,-1.164677501,-1.788783073,0.072001629,-0.279233575,-1.010253906,-0.849609375,0.159179688
6,4221681138,-0.635006,-0.285188,0.689567,-0.199852,9.800741196,0.844695508,-1.144670248,-1.82290113,0.175201356,-0.212406039,-1.013671875,-0.851074219,0.162109375
7,4221689471,-0.635052,-0.285118,0.689574,-0.199783,9.79011631,0.832579195,-1.157728076,-1.686531067,0.163905486,-0.180260196,-1.014648438,-0.848144531,0.15625
8,4221697804,-0.635092,-0.285064,0.689575,-0.199732,9.792943001,0.860866129,-1.160534501,-1.471960306,0.175457492,-0.14967677,-1.010253906,-0.847167969,0.157714844
9,4221706137,-0.635129,-0.285025,0.689568,-0.199692,9.785375595,0.843806565,-1.158960819,-1.052476048,0.234626397,-0.241170809,-1.008300781,-0.849121094,0.158203125
10,4221714470,-0.635169,-0.284995,0.689556,-0.19965,9.798521996,0.882124066,-1.131371975,-1.135184407,0.260957807,-0.35605067,-1.012207031,-0.848632813,0.158691406
11,4221722803,-0.635211,-0.284959,0.689548,-0.199595,9.777886391,0.86783272,-1.130513549,-1.375574112,0.212342024,-0.400184035,-1.01171875,-0.845214844,0.156738281
12,4221731136,-0.635259,-0.284903,0.689545,-0.199532,9.784123421,0.874671102,-1.125049233,-1.617910266,0.250993878,-0.281692535,-1.010742188,-0.849121094,0.157714844
13,4221739469,-0.635307,-0.284823,0.689557,-0.199452,9.800433159,0.881152928,-1.122094035,-1.720418692,0.140673384,-0.174061537,-1.009277344,-0.849609375,0.155761719
14,4221747802,-0.635352,-0.284768,0.689555,-0.199395,9.773036957,0.861452878,-1.131014943,-1.548956752,0.221025229,-0.228671074,-1.010742188,-0.847167969,0.158691406
