PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,1699368753,0.311927557,0.332323015,-0.513205171,0,0,0,0,0,0,0.01171875,0.209472656,-1.023925781, 
1,1699377086,0.32158345,0.320182145,-0.510807574,-0.05053141,0.0342636,9.40834713,1.157315016,-1.455708146,0.295088768,0.014892578,0.210449219,-1.022216797, 
2,1699385419,0.332024515,0.30793488,-0.509061396,-0.04859348,0.048692301,9.426654816,1.252344012,-1.468873978,0.217989966,0.012939453,0.214111328,-1.020263672, 
3,1699393752,0.337165654,0.300348759,-0.485532552,-0.052001018,0.059647635,9.437641144,1.199886084,-1.396769643,0.213072002,0.012939453,0.211914063,-1.024414063, 
4,1699402085,0.348250091,0.288656265,-0.483377129,-0.030087799,0.059461344,9.430290222,1.327803493,-1.401661992,0.267092407,0.012939453,0.212402344,-1.023681641, 
5,1699410418,0.357325405,0.276387483,-0.474094689,-0.044570457,0.066606909,9.432131767,1.227805495,-1.563902736,0.314786136,0.011962891,0.2109375,-1.022216797, 
6,1699418751,0.367759466,0.264171124,-0.472352743,-0.018574048,0.0720888,9.448562622,1.250704765,-1.463981628,0.219629243,0.015869141,0.2109375,-1.023193359, 
7,1699427084,0.382099718,0.243847221,-0.469470441,-0.023973595,0.077320918,9.404616356,1.227805614,-1.51966691,0.285278559,0.014648438,0.207519531,-1.025878906, 
8,1699435417,0.392768383,0.230758846,-0.466851443,-0.054854959,0.080852874,9.428483009,1.278675318,-1.568795085,0.326235682,0.014892578,0.213867188,-1.023193359, 
9,1699443750,0.412133396,0.203816831,-0.431358784,-0.056315508,0.073551804,9.42851162,1.242559195,-1.473766088,0.290119588,0.014892578,0.213378906,-1.022216797, 
10,1699452083,0.421988636,0.190977588,-0.428684473,-0.054276414,0.055012863,9.42489624,1.180342317,-1.537648082,0.332895398,0.011474609,0.212402344,-1.021728516, 
11,1699460416,0.440221995,0.180568546,-0.394193023,-0.05199974,0.078869864,9.454139709,1.162232995,-1.367210984,0.272061616,0.011962891,0.212890625,-1.022705078, 
12,1699468749,0.450792432,0.167983681,-0.391747653,-0.044815842,0.065646283,9.437667847,1.267174602,-1.508191586,0.304873407,0.014892578,0.212890625,-1.023681641, 
13,1699477082,0.464498073,0.163646579,-0.378839552,-0.040990185,0.07112889,9.404697418,1.257287621,-1.34103322,0.245627716,0.014892578,0.211914063,-1.025390625, 
14,1699485415,0.47473374,0.151299134,-0.376642853,-0.013409544,0.094725065,9.428338051,1.227805614,-1.478684187,0.27541706,0.012939453,0.212890625,-1.021728516, 
15,1699493748,0.486614108,0.146148667,-0.335633457,-0.031647027,0.09281633,9.430243492,1.365456462,-1.449253321,0.257051647,0.013427734,0.211425781,-1.025390625, 
16,1699502081,0.496823639,0.133763447,-0.33345595,-0.011233314,0.081799939,9.426545143,1.224501252,-1.485241413,0.273803353,0.013427734,0.214111328,-1.019287109, 
17,1699510414,0.509072781,0.124935046,-0.304549992,-0.036615919,0.101736538,9.415596008,1.137643337,-1.495025873,0.282179207,0.012939453,0.2109375,-1.025390625, 
18,1699518747,0.519158423,0.112637356,-0.301889688,-0.041825868,0.083312042,9.452314377,1.209875464,-1.472050071,0.331179202,0.012939453,0.2109375,-1.025390625, 
19,1699527080,0.531805396,0.102889933,-0.27685079,-0.050867412,0.061073087,9.423156738,1.16868794,-1.485318303,0.228030756,0.015869141,0.214599609,-1.020751953, 
20,1699535413,0.541694164,0.089809015,-0.274498969,-0.067250639,0.068046354,9.410405159,1.186822891,-1.5671556,0.296984226,0.012939453,0.211914063,-1.021240234, 
21,1699543746,0.552579701,0.081997603,-0.231249258,-0.052321706,0.071588084,9.417653084,1.246145248,-1.493181825,0.414732873,0.013427734,0.215576172,-1.018310547, 
22,1699552079,0.562422752,0.07039763,-0.229136363,-0.086718082,0.051537488,9.43075943,1.180265427,-1.390186787,0.26547873,0.011230469,0.208496094,-1.022216797, 
23,1699560412,0.571177661,0.064795442,-0.195272267,-0.070257522,0.060327798,9.425169945,1.206596851,-1.509728551,0.321420223,0.014892578,0.215576172,-1.024658203, 
24,1699568745,0.581916809,0.052933604,-0.192459717,-0.050013859,0.060171023,9.414077759,1.288690567,-1.419566512,0.352106035,0.012451172,0.210449219,-1.023925781, 
25,1699577078,0.588149011,0.050908443,-0.159629583,-0.060616758,0.056573048,9.43799305,1.170608997,-1.409756184,0.322931468,0.010986328,0.211425781,-1.023925781, 
26,1699585411,0.598179579,0.038740378,-0.157127857,-0.049451929,0.078350686,9.452486992,1.203318357,-1.457296252,0.314760506,0.013916016,0.212402344,-1.022705078, 
27,1699593744,0.603854835,0.035876136,-0.144321531,-0.024000062,0.08515545,9.402855873,1.263793588,-1.526326656,0.278695673,0.012451172,0.210449219,-1.021728516, 
28,1699602077,0.614006698,0.023893198,-0.142032966,-0.029010478,0.103583246,9.426608086,1.217995167,-1.436061978,0.288403422,0.012695313,0.210449219,-1.019775391, 
29,1699610410,0.620230198,0.021465814,-0.122253515,-0.030726338,0.098052658,9.433981895,1.283772707,-1.362241745,0.330615729,0.013427734,0.21484375,-1.024658203, 
30,1699618743,0.63098228,0.010045341,-0.121231295,-0.052562248,0.083476223,9.447049141,1.28961277,-1.369362712,0.13720265,0.015380859,0.211914063,-1.021240234, 
31,1699627076,0.63692081,0.006555533,-0.093960278,-0.043541055,0.073921368,9.401286125,1.127781987,-1.37376821,0.257435858,0.014892578,0.215087891,-1.023681641, 
32,1699635409,0.646684527,-0.005321016,-0.092540808,-0.054434247,0.071866617,9.414221764,1.171761513,-1.423229218,0.185280576,0.015869141,0.211914063,-1.021240234, 
33,1699643742,0.652314723,-0.009254778,-0.050229423,-0.070620775,0.057108711,9.434604645,1.112951159,-1.436062098,0.254438996,0.011962891,0.212890625,-1.024902344, 
34,1699652075,0.662380099,-0.021784052,-0.047697388,-0.072466679,0.065881699,9.429103851,1.208261967,-1.499867082,0.321471453,0.011474609,0.212402344,-1.023681641, 
35,1699660408,0.668884337,-0.024516063,-0.013833662,-0.072432682,0.047503352,9.416437149,1.295017242,-1.344439983,0.253388822,0.014892578,0.211425781,-1.020263672, 
36,1699668741,0.679133475,-0.036157969,-0.011415656,-0.046597093,0.051109482,9.432705879,1.229598522,-1.395027995,0.306282192,0.013427734,0.213378906,-1.023193359, 
37,1699677074,0.684474349,-0.039466485,0.034744874,-0.048271172,0.069253966,9.441773415,1.244454741,-1.483397126,0.354078382,0.011962891,0.212890625,-1.023193359, 
38,1699685407,0.694313526,-0.051425707,0.038130447,-0.017119035,0.083538145,9.412124634,1.180905819,-1.430631638,0.423031867,0.012939453,0.213623047,-1.020263672, 
39,1699693740,0.699273705,-0.055510204,0.07011833,-0.009579253,0.090689681,9.424841881,1.250448585,-1.544538379,0.226417005,0.014404297,0.213378906,-1.023681641, 
40,1699702073,0.709740758,-0.067945868,0.071468674,-0.012849064,0.083396554,9.435935974,1.255187035,-1.490620375,0.180285782,0.010498047,0.2109375,-1.022705078, 
41,1699710406,0.714417219,-0.072134726,0.079774387,-0.019883135,0.090648562,9.43413353,1.176910043,-1.436138868,0.259126395,0.013916016,0.213867188,-1.025878906, 
42,1699718739,0.72500509,-0.084495708,0.081241086,-0.032780904,0.075724274,9.425245285,1.271657228,-1.480733514,0.193272218,0.009521484,0.213378906,-1.024414063, 
43,1699727072,0.729762375,-0.089706123,0.105279036,-0.052729428,0.062747501,9.414587021,1.15851891,-1.472485542,0.188866556,0.010986328,0.212890625,-1.024414063, 
44,1699735405,0.739838004,-0.101545371,0.107585818,-0.046932973,0.068201423,9.432825089,1.209901094,-1.418004036,0.293347031,0.013427734,0.211425781,-1.022216797, 
45,1699743738,0.744604826,-0.106216878,0.150477424,-0.076261625,0.069775999,9.414832115,1.182109714,-1.401534081,0.30320847,0.011962891,0.215576172,-1.023681641, 
46,1699752071,0.755515456,-0.118484616,0.152916595,-0.079846188,0.065974824,9.427758217,1.309950471,-1.468873978,0.311046481,0.011474609,0.212402344,-1.026855469, 
47,1699760404,0.761144459,-0.123405993,0.15162316,-0.081709139,0.049330421,9.411480904,1.303546906,-1.467080951,0.338940382,0.015380859,0.211914063,-1.021240234, 
48,1699768737,0.771073103,-0.135276288,0.154671028,-0.073820986,0.071464635,9.433221817,1.192355514,-1.420847297,0.383585989,0.013427734,0.213867188,-1.023681641, 
49,1699777070,0.776530862,-0.139710352,0.202202708,-0.052078806,0.072839193,9.411028862,1.31963253,-1.473868489,0.2880961,0.010986328,0.2109375,-1.0234375, 
50,1699785403,0.786991537,-0.15213497,0.204310805,-0.055333078,0.096695609,9.420040131,1.255596876,-1.488648057,0.272112817,0.013916016,0.212890625,-1.023681641, 
51,1699793736,0.791769624,-0.15722923,0.236459121,-0.002024368,0.112844229,9.417469978,1.239383101,-1.568743825,0.320139527,0.011962891,0.212890625,-1.026367188, 
52,1699802069,0.802065134,-0.170526147,0.238758758,-0.014054604,0.109462529,9.457958221,1.237590194,-1.593410254,0.2956779,0.015380859,0.209960938,-1.022705078, 
53,1699810402,0.807341099,-0.175182372,0.266697079,-0.017787822,0.083499894,9.425322533,1.24909091,-1.477147222,0.278644443,0.011962891,0.213378906,-1.024169922, 
54,1699818735,0.817040443,-0.187817648,0.269690901,-0.041510694,0.074104495,9.414749146,1.166049719,-1.512622952,0.379282743,0.016357422,0.212890625,-1.022216797, 
55,1699827068,0.82230562,-0.193347931,0.27839911,-0.021077745,0.073904179,9.421862602,1.223015666,-1.527786493,0.315067917,0.012939453,0.217041016,-1.023681641, 
56,1699835401,0.832294285,-0.206066057,0.280233383,-0.0558859,0.057153452,9.400531769,1.20121789,-1.524866581,0.239787638,0.010986328,0.213378906,-1.025390625, 
57,1699843734,0.837426841,-0.210866705,0.402138531,-0.07002148,0.044536553,9.422860146,1.214383602,-1.420053124,0.222754195,0.013916016,0.212890625,-1.021728516, 
58,1699852067,0.847287834,-0.223836541,0.404598147,-0.090198882,0.03868537,9.41408062,1.186950922,-1.555552483,0.315452099,0.015380859,0.210449219,-1.021728516, 
59,1699860400,0.853116691,-0.228802025,0.444878012,-0.080741897,0.042348862,9.424986839,1.336742759,-1.461932421,0.389426023,0.015380859,0.211914063,-1.025878906, 
60,1699868733,0.863723695,-0.24109368,0.448143065,-0.064033262,0.055086102,9.422828674,1.276190758,-1.471563339,0.409507543,0.013916016,0.214355469,-1.025146484, 
61,1699877066,0.868648589,-0.246678606,0.523482502,-0.047128595,0.064203657,9.437196732,1.2718364,-1.583856106,0.269218415,0.011962891,0.212402344,-1.023193359, 
62,1699885399,0.878850579,-0.258772731,0.525965333,-0.04697828,0.073165841,9.416994095,1.228061676,-1.449074149,0.316271752,0.015380859,0.212890625,-1.021728516, 
63,1699893732,0.883153021,-0.263378382,0.552757978,-0.01730019,0.093200877,9.429203987,1.211873651,-1.468540907,0.34603554,0.013427734,0.214599609,-1.022216797, 
64,1699902065,0.893452704,-0.275310367,0.555395126,-0.028090954,0.093133099,9.431229591,1.239690542,-1.430964828,0.332459956,0.012939453,0.211914063,-1.025390625, 
