PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,319538535,1.482743263,0.799415052,-82.97628784,0,0,0,0,0,0,-0.915039063,0.113769531,-1.564453125, 
1,319546868,1.486208797,0.780872941,-82.9751358,-0.100765944,0.207021698,9.618782997,0.41399011,-2.221369267,0.193912581,-0.9140625,0.108886719,-1.565917969, 
2,319555201,1.495054126,0.754437983,-82.97885895,-0.119133182,0.211700797,9.609639168,1.067870259,-3.182286739,-0.363158613,-0.9140625,0.111328125,-1.564941406, 
3,319563534,1.458289027,0.716438293,-83.04640961,-0.103784621,0.233827457,9.56385231,1.617167473,-2.692312002,-0.258447647,-0.913574219,0.114257813,-1.561035156, 
4,319571867,1.48199296,0.701371849,-83.04577637,-0.095486365,0.278756112,9.457566261,2.843730927,-1.805598736,0.121142529,-0.9140625,0.110351563,-1.563476563, 
5,319580200,1.47552073,0.674794614,-83.02481842,-0.148673654,0.299088001,9.294528008,3.34249115,-0.998929501,0.563064873,-0.913085938,0.11328125,-1.562011719, 
6,319588533,1.496254683,0.668741822,-83.01974487,-0.116433784,0.295513302,9.25776577,2.480341911,-0.711717129,0.628816605,-0.915527344,0.111328125,-1.5625, 
7,319596866,1.539218426,0.664429724,-83.00530243,-0.109848469,0.280830175,9.248548508,1.896823764,-0.591816902,0.673282981,-0.913574219,0.113769531,-1.561035156, 
8,319605199,1.547364831,0.656811357,-83.00095367,-0.096684977,0.269039869,9.299811363,0.972047329,-0.899776816,0.546313167,-0.915527344,0.114746094,-1.5625, 
9,319613532,1.585836291,0.647306085,-82.97550964,-0.111754559,0.265455455,9.356609344,0.322803378,-1.477813244,0.831066668,-0.916992188,0.110839844,-1.5625, 
10,319621865,1.586432695,0.637209892,-82.96891785,-0.100619018,0.212517798,9.415308952,0.062281009,-1.189166427,0.822716415,-0.916503906,0.110351563,-1.564453125, 
11,319630198,1.607580185,0.634050131,-82.96005249,-0.073209345,0.19632408,9.499554634,-0.004456877,-0.390770763,0.839775443,-0.9140625,0.11328125,-1.564941406, 
12,319638531,1.610978961,0.630302846,-82.95272064,-0.021379847,0.185265779,9.497666359,0.397238344,-0.423736274,0.890286863,-0.912109375,0.11328125,-1.563476563, 
13,319646864,1.614044547,0.618389547,-82.92903137,-0.044619434,0.173005819,9.484912872,1.108417511,-0.755389392,0.873688698,-0.910644531,0.112792969,-1.564453125, 
14,319655197,1.622130513,0.606441855,-82.92514801,-0.071186222,0.16470854,9.463004112,0.96492666,-1.419720173,0.505893946,-0.912597656,0.11328125,-1.563476563, 
15,319663530,1.610019326,0.571699262,-82.9092865,-0.087829776,0.173051059,9.46117115,1.174118042,-1.990635872,0.311405063,-0.915039063,0.110839844,-1.563964844, 
16,319671863,1.623778462,0.552868724,-82.90824127,-0.149428308,0.202227041,9.464913368,1.649159789,-2.255128384,0.189916745,-0.916503906,0.11328125,-1.560058594, 
17,319680196,1.610514522,0.523274243,-82.9052887,-0.208838388,0.228365093,9.391759872,1.883863091,-1.896298528,0.190659553,-0.912109375,0.113769531,-1.564453125, 
18,319688529,1.622131824,0.514961541,-82.90050507,-0.180521727,0.2497399,9.356799126,1.388534784,-0.980410397,0.602869451,-0.912597656,0.111816406,-1.565917969, 
19,319696862,1.607071638,0.515529275,-82.87834167,-0.224241629,0.253775716,9.369737625,1.14573741,-0.239928544,1.105138898,-0.913085938,0.112792969,-1.564453125, 
20,319705195,1.614817619,0.511961877,-82.87068176,-0.192819476,0.238783494,9.356855392,0.922394216,-0.402322769,0.930411458,-0.911621094,0.111328125,-1.564453125, 
21,319713528,1.601652026,0.518914521,-82.85532379,-0.157384008,0.221802503,9.387928009,0.503998518,-0.826391935,0.987697661,-0.913085938,0.111328125,-1.561523438, 
22,319721861,1.604925752,0.508514225,-82.84674072,-0.163556904,0.220686659,9.384293556,0.384047031,-1.219544888,1.064104915,-0.914550781,0.114257813,-1.566894531, 
23,319730194,1.591370225,0.512871921,-82.83724213,-0.139760122,0.223443449,9.446516991,0.127904668,-1.527427912,1.06031394,-0.915039063,0.111328125,-1.564941406, 
24,319738527,1.596552372,0.501396358,-82.82837677,-0.157915428,0.19506219,9.472364426,0.611834407,-1.347616076,1.099990487,-0.912597656,0.110839844,-1.565429688, 
25,319746860,1.587574244,0.505856395,-82.82476044,-0.126021743,0.176006392,9.54194355,0.52208209,-1.501070857,0.598899245,-0.91015625,0.112792969,-1.563476563, 
26,319755193,1.596115828,0.48849982,-82.8221283,-0.078602925,0.182222351,9.563691139,1.022456169,-2.072729349,0.372827977,-0.912109375,0.115722656,-1.563964844, 
27,319763526,1.595812917,0.487595856,-82.81689453,-0.079857357,0.200163692,9.523334503,1.694368839,-2.023165941,0.243373647,-0.911621094,0.11328125,-1.5625, 
28,319771859,1.611843228,0.468670845,-82.81702423,-0.092845164,0.192171007,9.492301941,1.924666405,-2.269830942,0.048295639,-0.911132813,0.110351563,-1.56640625, 
29,319780192,1.616889954,0.457887977,-82.81427002,-0.071802028,0.199955225,9.483008385,2.358085155,-2.718361855,-0.100817636,-0.913085938,0.11328125,-1.563964844, 
30,319788525,1.640524745,0.436766863,-82.81594849,-0.111976489,0.234854475,9.400620461,2.838569403,-2.5388062,-0.128865212,-0.9140625,0.111328125,-1.563964844, 
31,319796858,1.650365114,0.433169663,-82.81050873,-0.089937277,0.267054111,9.277591705,2.893166065,-1.536546707,0.115558609,-0.912109375,0.115234375,-1.562988281, 
32,319805191,1.670579314,0.426580071,-82.80677795,-0.138353705,0.32842958,9.184043884,2.423247337,-0.779056907,0.467088372,-0.912597656,0.113769531,-1.565917969, 
33,319813524,1.667401671,0.416909158,-82.79225159,-0.200911209,0.332497686,9.11296463,1.023147821,-2.145550966,0.557942092,-0.911621094,0.111328125,-1.564453125, 
34,319821857,1.664727449,0.386386037,-82.79115295,-0.156458944,0.28245312,9.230291367,-0.321125597,-3.657712221,0.237969026,-0.912597656,0.114746094,-1.565429688, 
35,319830190,1.646720409,0.365432113,-82.7866745,-0.118725374,0.229088649,9.388001442,-1.30327785,-3.710478067,0.199009791,-0.913085938,0.114746094,-1.564453125, 
36,319838523,1.639047742,0.336520106,-82.78536224,-0.149595901,0.185143933,9.580924988,-0.922368705,-3.46496582,0.255745351,-0.912597656,0.113769531,-1.563476563, 
37,319846856,1.633303761,0.321584851,-82.77476501,-0.086745135,0.151980355,9.683299065,0.051907249,-3.014155149,0.210997239,-0.9140625,0.113769531,-1.561523438, 
38,319855189,1.643762469,0.299375355,-82.77172852,-0.091729403,0.15146628,9.701713562,1.253445387,-2.654659033,0.43911761,-0.916503906,0.112304688,-1.563964844, 
39,319863522,1.658399701,0.295476794,-82.76387787,-0.074782938,0.168523103,9.657522202,2.694143534,-1.652194977,0.393319368,-0.913574219,0.110839844,-1.561523438, 
40,319871855,1.689110637,0.289648205,-82.76113129,-0.072540894,0.207034603,9.514364243,3.685644865,-0.690047443,0.34606111,-0.914550781,0.111816406,-1.564453125, 
41,319880188,1.715279102,0.298438221,-82.75430298,-0.086357921,0.236264735,9.354879379,4.247621536,-0.010553065,0.37864244,-0.917480469,0.111328125,-1.5625, 
42,319888521,1.743460894,0.297288984,-82.75178528,-0.078060396,0.266260356,9.240921974,3.381475925,-0.130658209,0.304463595,-0.915039063,0.110839844,-1.562988281, 
43,319896854,1.751030564,0.293712407,-82.74987793,-0.135513395,0.268372327,9.257880211,1.977047563,-1.40906477,-0.183500379,-0.913085938,0.111816406,-1.564453125, 
44,319905187,1.7600981,0.261900872,-82.75484467,-0.111700676,0.281400144,9.252077103,1.091230392,-3.835142374,-0.478345782,-0.915527344,0.108886719,-1.564941406, 
45,319913520,1.760764241,0.230674624,-82.75331879,-0.131711349,0.251887381,9.27278614,1.009239316,-4.710790634,-0.193618,-0.9140625,0.11328125,-1.563964844, 
46,319921853,1.763858318,0.20180814,-82.75305176,-0.139628723,0.2302237,9.39771843,0.37375012,-3.462302208,0.13845776,-0.912109375,0.111328125,-1.564453125, 
47,319930186,1.758462787,0.18783018,-82.74394989,-0.085394181,0.243901268,9.46667099,0.17493242,-2.642722845,0.403001606,-0.913085938,0.110351563,-1.564941406, 
48,319938519,1.764807582,0.161105275,-82.74136353,-0.051758349,0.213316366,9.462968826,0.762548506,-3.197808981,0.405460507,-0.913574219,0.11328125,-1.561035156, 
49,319946852,1.768330097,0.135604829,-82.73396301,-0.048520748,0.214862511,9.486790657,1.226678491,-4.033063889,0.401669621,-0.913574219,0.112792969,-1.5625, 
50,319955185,1.778350353,0.113242537,-82.73480988,-0.101578206,0.166033939,9.515483856,1.203395367,-2.68747139,-0.021029288,-0.916015625,0.112304688,-1.562011719, 
51,319963518,1.782663465,0.108600445,-82.72583771,-0.024590444,0.190371096,9.585702896,1.345323443,-1.437009692,0.289965957,-0.916503906,0.111328125,-1.563476563, 
52,319971851,1.807110548,0.100939684,-82.72200012,-0.049321964,0.183924735,9.556779861,2.936095476,-0.906052351,0.486580819,-0.915527344,0.114257813,-1.562011719, 
53,319980184,1.825306416,0.098635405,-82.71908569,-0.070029043,0.160489887,9.559136391,3.092829227,-1.126667619,-0.280527085,-0.91796875,0.110839844,-1.5625, 
54,319988517,1.846698165,0.077178381,-82.72718048,-0.065519512,0.182777494,9.538720131,2.569658041,-2.606171131,-0.893552601,-0.915039063,0.110351563,-1.562011719, 
55,319996850,1.862450242,0.04670516,-82.73329926,-0.108864866,0.22450839,9.524279594,2.876670837,-4.497603416,-1.312985778,-0.91796875,0.110351563,-1.565917969, 
56,320005183,1.887699366,0.004054891,-82.74625397,-0.133096397,0.241592124,9.513577461,3.032405376,-5.16882515,-1.392185092,-0.917480469,0.110351563,-1.563964844, 
57,320013516,1.907067776,-0.020685976,-82.74887085,-0.115013242,0.294593096,9.448663712,3.328121662,-3.808810949,-1.148567796,-0.915527344,0.107421875,-1.560058594, 
58,320021849,1.936903954,-0.040444862,-82.75319672,-0.080291502,0.297162175,9.312573433,3.583342314,-2.389936447,-0.441435784,-0.916503906,0.112304688,-1.559570313, 
59,320030182,1.956708312,-0.048520066,-82.74721527,-0.057852503,0.301655859,9.255345345,3.316338778,-1.827037811,0.091481239,-0.916015625,0.110351563,-1.562011719, 
60,320038515,1.97802043,-0.071166217,-82.74549866,-0.062657103,0.299455553,9.259113312,2.561000824,-2.711548328,0.29552424,-0.920898438,0.109375,-1.563964844, 
61,320046848,1.990963459,-0.090393223,-82.73469543,-0.089819856,0.302929819,9.230259895,2.4042418,-3.15265131,0.247446343,-0.91796875,0.108398438,-1.561523438, 
62,320055181,2.005543709,-0.110419169,-82.72926331,-0.098222665,0.337357312,9.251942635,1.753819585,-2.382662058,0.731273651,-0.920410156,0.109375,-1.562011719, 
63,320063514,2.009182453,-0.120386995,-82.71200562,-0.119287297,0.326519936,9.272657394,1.215279937,-2.011741877,1.1333915,-0.918457031,0.109863281,-1.560546875, 
64,320071847,2.01539731,-0.139557794,-82.70279694,-0.106517538,0.273702234,9.324555397,0.752968848,-2.264784813,1.1787287,-0.917480469,0.106933594,-1.563476563, 
65,320080180,2.013102293,-0.152617887,-82.68428802,-0.087502435,0.23161079,9.396338463,0.411018819,-2.423798084,1.102705598,-0.917480469,0.107910156,-1.561035156, 
66,320088513,2.011869669,-0.178760439,-82.67816162,-0.059716236,0.170829803,9.484751701,-0.141826019,-3.113384962,0.83923769,-0.919433594,0.108886719,-1.562011719, 
67,320096846,2.004556417,-0.214948818,-82.66908264,-0.074020177,0.15942733,9.589747429,-0.187982857,-5.251430511,0.358817011,-0.920410156,0.109375,-1.561035156, 
68,320105179,2.005099058,-0.27362588,-82.67625427,-0.079083204,0.140045524,9.64350605,0.066174366,-7.07237196,-0.620402336,-0.919921875,0.108886719,-1.560058594, 
69,320113512,1.999773979,-0.339064866,-82.67721558,-0.04066487,0.141779125,9.633806229,0.128673121,-8.800104141,-0.785281241,-0.922851563,0.108398438,-1.561523438, 
70,320121845,2.003862143,-0.431056082,-82.69036102,-0.063408799,0.162465885,9.634407043,0.485812426,-11.09255219,-1.198464632,-0.919433594,0.109375,-1.5625, 
71,320130178,2.003458977,-0.544467866,-82.70897675,-0.040619448,0.146487951,9.61081028,0.793004155,-14.62854958,-2.600409269,-0.922851563,0.110839844,-1.558105469, 
72,320138511,2.015924692,-0.678592563,-82.73506927,0.08732754,0.126756549,9.551490784,1.466735482,-16.20018768,-2.572668791,-0.928222656,0.108886719,-1.556640625, 
