PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,2501247972,0.995916843,-0.016181571,98.84302521,0,0,0,0,0,0,0.321777344,-0.080810547,-1.02734375, 
1,2501256305,1.006388783,-0.029479844,98.8456955,0.002200828,0.164204895,9.419200897,1.257287502,-1.588517904,0.347546726,0.318847656,-0.079833984,-1.024414063, 
2,2501264638,1.016560555,-0.041725896,98.84883118,0.028242175,0.166029602,9.433794975,1.221273899,-1.463879108,0.403257668,0.322753906,-0.082275391,-1.024414063, 
3,2501272971,1.022050023,-0.059899379,98.83473206,0.037487525,0.14016372,9.444769859,1.308157444,-1.558984876,0.426208109,0.326171875,-0.085449219,-1.026855469, 
4,2501281304,1.032140374,-0.07181295,98.83733368,0.030608481,0.131108701,9.446578979,1.211386681,-1.422947407,0.339324564,0.323242188,-0.082275391,-1.0234375, 
5,2501289637,1.025217772,-0.110850677,98.87184906,0.027045805,0.140266135,9.439230919,1.260540485,-1.282017946,0.278516352,0.319335938,-0.081298828,-1.02734375, 
6,2501297970,1.035669446,-0.122969858,98.87535858,0.030499496,0.117897175,9.393458366,1.255750656,-1.445820928,0.447493494,0.322753906,-0.084472656,-1.025878906, 
7,2501306303,1.013427019,-0.157310784,98.87034607,0.027073288,0.121485204,9.433721542,1.268762589,-1.51477468,0.349186063,0.320800781,-0.083251953,-1.025878906, 
8,2501314636,1.024117231,-0.169296935,98.87286377,0.01634462,0.11599192,9.435576439,1.283516407,-1.432834744,0.326133251,0.321289063,-0.083984375,-1.027832031, 
9,2501322969,0.99407953,-0.195050746,98.88776398,0.011001841,0.132179573,9.422716141,1.208056927,-1.634418607,0.349390954,0.320800781,-0.079345703,-1.026367188, 
10,2501331302,1.004937887,-0.207029179,98.88995361,0.016799105,0.117514357,9.402580261,1.304801941,-1.432860136,0.288403422,0.319824219,-0.080322266,-1.02734375, 
11,2501339635,0.980632067,-0.217813,98.86650085,0.002426267,0.084626935,9.428320885,1.20654583,-1.362267375,0.363862962,0.320800781,-0.082275391,-1.026855469, 
12,2501347968,0.990700483,-0.230671212,98.86872864,-0.015868174,0.097096577,9.419182777,1.208031416,-1.539389849,0.295216829,0.321289063,-0.083496094,-1.027832031, 
13,2501356301,0.965762734,-0.234969079,98.87651825,0.008238222,0.111689486,9.42088604,1.198349237,-1.388496637,0.370445907,0.32421875,-0.084960938,-1.027832031, 
14,2501364634,0.975668728,-0.247749448,98.88013458,0.012005066,0.131530255,9.437285423,1.190255046,-1.526044846,0.460812867,0.321777344,-0.079833984,-1.024902344, 
15,2501372967,0.954171598,-0.24656786,98.90476227,0.019702267,0.125980601,9.442755699,1.162207365,-1.41144681,0.3410151,0.317871094,-0.082763672,-1.026855469, 
16,2501381300,0.964376748,-0.257737011,98.90817261,0.045206334,0.122015744,9.407859802,1.226371169,-1.332657456,0.432560354,0.321777344,-0.083984375,-1.028808594, 
17,2501389633,0.951319993,-0.258008927,98.92521667,0.052492857,0.147345245,9.391233444,1.237743855,-1.424510002,0.403206468,0.323242188,-0.081787109,-1.022460938, 
18,2501397966,0.961396813,-0.270040542,98.92817688,0.023392769,0.128968537,9.406061172,1.21143806,-1.437675714,0.37869367,0.319824219,-0.082275391,-1.026855469, 
19,2501406299,0.954762578,-0.27470535,98.92740631,0.03092093,0.145517498,9.435254097,1.316354036,-1.33619225,0.330718189,0.324707031,-0.082275391,-1.026367188, 
20,2501414632,0.965375841,-0.286569327,98.93009949,0.019952144,0.158193737,9.426084518,1.27698493,-1.418080926,0.347367436,0.323730469,-0.081298828,-1.02734375, 
21,2501422965,0.961974204,-0.291994303,98.9302597,0.005448803,0.156330243,9.426136971,1.234490871,-1.373665929,0.399851024,0.322753906,-0.080810547,-1.026367188, 
22,2501431298,0.972573042,-0.30373171,98.9329834,0.005433976,0.157963276,9.416966438,1.273680568,-1.403301477,0.350620449,0.321777344,-0.083251953,-1.026855469, 
23,2501439631,0.972954273,-0.308872551,98.92298126,0.005739952,0.165223554,9.438890457,1.185209036,-1.460549116,0.380486637,0.322753906,-0.079345703,-1.024414063, 
24,2501447964,0.983376682,-0.320797086,98.92560577,-0.003500944,0.170399845,9.400449753,1.252369642,-1.424638152,0.339247733,0.320800781,-0.083251953,-1.026367188, 
25,2501456297,0.986699581,-0.324422956,98.90483856,0.004054365,0.139230251,9.420689583,1.198502898,-1.411318898,0.429563582,0.325683594,-0.085449219,-1.026367188, 
26,2501464630,0.997165382,-0.336308718,98.907547,0.011309106,0.144422844,9.396819115,1.258926868,-1.419745684,0.350671679,0.323242188,-0.081298828,-1.02734375, 
