PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
1,225332813,-0.506343842,0.542807281,-45.94541931,-0.097402833,-0.097125761,9.408485413,1.270427585,-1.339342713,0.380332947, 
2,225341146,-0.495881706,0.531596065,-45.94090271,-0.102931194,-0.073477574,9.408502579,1.250781655,-1.350766778,0.531149566, 
3,225349479,-0.486767948,0.521444798,-45.95547867,-0.104823768,-0.093587697,9.426876068,1.326240897,-1.2327106,0.549079478, 
4,225357812,-0.475340456,0.510761797,-45.95199203,-0.099502474,-0.082651466,9.393940926,1.367121339,-1.286910176,0.408124387, 
5,225366145,-0.466726094,0.509623706,-45.9131279,-0.115983896,-0.07538759,9.404978752,1.295017242,-1.393388867,0.472185612, 
6,225374478,-0.456149012,0.498595446,-45.90913391,-0.101240866,-0.08086057,9.40866375,1.265535235,-1.326202631,0.468881339, 
7,225382811,-0.44718504,0.503140688,-45.92538071,-0.093935683,-0.093713395,9.406884193,1.285104632,-1.291879535,0.357356995, 
8,225391144,-0.436725467,0.492271364,-45.92212296,-0.101324961,-0.093820266,9.395961761,1.250704646,-1.30822134,0.380358577, 
9,225399477,-0.431954443,0.495420992,-45.90740967,-0.075637586,-0.073733702,9.41420269,1.201576591,-1.26065588,0.41642344, 
10,225407810,-0.420798004,0.484674543,-45.90378189,-0.085134663,-0.10878659,9.390546799,1.334386349,-1.293493152,0.424491882, 
11,225416143,-0.41550988,0.48283568,-45.86830902,-0.088803992,-0.086822055,9.427164078,1.352521062,-1.362164974,0.550770104, 
12,225424476,-0.404708177,0.471478611,-45.86450195,-0.103374533,-0.081298247,9.412582397,1.291712999,-1.367210984,0.445956618, 
13,225432809,-0.402400345,0.467728913,-45.85630035,-0.086974978,-0.095945053,9.418125153,1.388560534,-1.291751504,0.499797761, 
14,225441142,-0.39192608,0.45817551,-45.85242081,-0.083251484,-0.082912862,9.410793304,1.254137039,-1.150796294,0.457175732, 
15,225449475,-0.389924526,0.455557287,-45.84913254,-0.070747547,-0.090330496,9.425462723,1.354006767,-1.183736205,0.389835835, 
16,225457808,-0.378478587,0.444578439,-45.84581757,-0.103950232,-0.090437397,9.414636612,1.370323062,-1.321438313,0.388427079, 
17,225466141,-0.376412064,0.438382924,-45.81590652,-0.100368649,-0.074061789,9.385306358,1.303239465,-1.34090519,0.478742898, 
18,225474474,-0.365936488,0.427632362,-45.81208801,-0.113068238,-0.073954664,9.40555954,1.25406003,-1.293390751,0.450874567, 
19,225482807,-0.362447798,0.423228264,-45.80482864,-0.093031481,-0.075828619,9.422006607,1.326369047,-1.249052525,0.509659231, 
20,225491140,-0.351608306,0.412511617,-45.80002594,-0.104152419,-0.074061394,9.418431282,1.29691267,-1.28824234,0.568802476, 
21,225499473,-0.347761929,0.408473074,-45.77853775,-0.106064096,-0.066885322,9.403803825,1.275473714,-1.344081402,0.52472043, 
22,225507806,-0.336929977,0.397926688,-45.77455902,-0.115283526,-0.079707108,9.394802094,1.296707988,-1.268801212,0.470392674, 
23,225516139,-0.331673026,0.395272493,-45.75455093,-0.100647025,-0.054022014,9.403823853,1.319427609,-1.234708667,0.348955512, 
24,225524472,-0.32090348,0.384316653,-45.75090408,-0.102565512,-0.059585039,9.41488266,1.290048003,-1.318108439,0.429563522, 
25,225532805,-0.314552546,0.380030245,-45.73333359,-0.106214784,-0.057841219,9.43509388,1.334335208,-1.458961129,0.490474194, 
26,225541138,-0.304281503,0.369384408,-45.72956467,-0.102556579,-0.061620247,9.383883476,1.229444861,-1.280276299,0.444394141, 
27,225549471,-0.2974509,0.366980314,-45.7147522,-0.108057849,-0.061599426,9.416920662,1.327803493,-1.321284652,0.463886589, 
28,225557804,-0.2860111,0.356518418,-45.71114349,-0.097090296,-0.070634425,9.427944183,1.368786216,-1.257530808,0.425875068, 
29,225566137,-0.278763652,0.35336709,-45.69079971,-0.108398713,-0.061794832,9.382229805,1.29184103,-1.339189053,0.50176996, 
30,225574470,-0.268157303,0.34251821,-45.68748093,-0.089975119,-0.081858933,9.398776054,1.270273924,-1.305096388,0.390245676, 
31,225582803,-0.261714131,0.340482503,-45.67184448,-0.092094369,-0.093106516,9.360462189,1.195224166,-1.207992911,0.481995851, 
32,225591136,-0.250824839,0.329392135,-45.66779327,-0.084686279,-0.067470312,9.409738541,1.303290606,-1.332734108,0.478794068, 
33,225599469,-0.244399697,0.326029867,-45.65441132,-0.102958769,-0.100275315,9.424796104,1.242917895,-1.247208238,0.536041915, 
34,225607802,-0.233631581,0.3149032,-45.65029526,-0.071882851,-0.089471243,9.435540199,1.288562536,-1.337575436,0.48701629, 
35,225616135,-0.227472469,0.31089291,-45.63094711,-0.086568929,-0.08770445,9.437529564,1.318095565,-1.391646862,0.516626298, 
36,225624468,-0.216855749,0.300091237,-45.62824631,-0.08285775,-0.093201585,9.419299126,1.273219705,-1.298846722,0.318064809, 
37,225632801,-0.211760148,0.295475811,-45.59008789,-0.099478103,-0.091597192,9.415801048,1.278419375,-1.432834625,0.44152537, 
38,225641134,-0.201179042,0.284414351,-45.5860939,-0.088521235,-0.097240172,9.397510529,1.267174602,-1.329404354,0.472313672, 
39,225649467,-0.195229575,0.280214816,-45.57210922,-0.094127864,-0.086269461,9.397532463,1.390020609,-1.301894784,0.425849497, 
40,225657800,-0.184564292,0.268899918,-45.56779861,-0.101376519,-0.078920402,9.401259422,1.27716434,-1.360397696,0.511785209, 
41,225666133,-0.179723352,0.263958573,-45.54795456,-0.092002615,-0.084292926,9.423268318,1.249321699,-1.325972319,0.505176783, 
42,225674466,-0.168340012,0.252844214,-45.54399109,-0.103559129,-0.08661294,9.372168541,1.363919377,-1.33614099,0.470341355, 
43,225682799,-0.163471401,0.248096168,-45.52273178,-0.088422194,-0.089850903,9.419748306,1.292993784,-1.338087559,0.368985832, 
44,225691132,-0.15263094,0.237446249,-45.51908493,-0.083497822,-0.092229605,9.361196518,1.299909592,-1.280455589,0.432637215, 
45,225699465,-0.147632748,0.232409254,-45.49942017,-0.112574987,-0.068206884,9.386940002,1.289971352,-1.332913518,0.424696833, 
46,225707798,-0.135794014,0.222470045,-45.49541092,-0.087044805,-0.075434536,9.39782238,1.419912219,-1.195185781,0.475950897, 
47,225716131,-0.130237892,0.217503488,-45.477108,-0.090392195,-0.074975654,9.443701744,1.318428636,-1.284963608,0.530944645, 
48,225724464,-0.11963243,0.206043512,-45.47328186,-0.112539053,-0.073342696,9.423820496,1.270325184,-1.377021194,0.454563022, 
49,225732797,-0.114810839,0.201576248,-45.44663239,-0.108877763,-0.073356442,9.425678253,1.322962403,-1.318031669,0.470418245, 
50,225741130,-0.103627175,0.190408871,-45.44258118,-0.101645358,-0.07163015,9.420168877,1.341020346,-1.3409307,0.481918991, 
51,225749463,-0.098906174,0.186032057,-45.41875839,-0.103271663,-0.067763582,9.436707497,1.304929972,-1.332734108,0.472211212, 
52,225757796,-0.087092601,0.174621791,-45.41457748,-0.107056685,-0.064182766,9.434938431,1.416454434,-1.372154474,0.494828641, 
