PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0,1368045482,-0.661685705,0.150159627,-170.7979736,0,0,0,0,0,0,-0.087402344,-0.413574219,-1.033203125, 
1,1368053815,-0.651670396,0.138219729,-170.7935791,-0.008399856,-0.104942031,9.402921677,1.201576352,-1.439314842,0.508148015,-0.086669922,-0.416015625,-1.032714844, 
2,1368062148,-0.641871333,0.125998512,-170.7897491,-0.024697654,-0.103312291,9.406620979,1.175321937,-1.470513225,0.444240481,-0.083984375,-0.413085938,-1.029296875, 
3,1368070481,-0.628926098,0.106269486,-170.7554626,-0.01908073,-0.107122615,9.441448212,1.254034758,-1.437701583,0.494982332,-0.084716797,-0.416992188,-1.033691406, 
4,1368078814,-0.618600488,0.094818085,-170.7524109,-0.017076798,-0.101678826,9.413989067,1.237564564,-1.37876308,0.350697309,-0.085449219,-0.411132813,-1.032226563, 
5,1368087147,-0.607215643,0.084132977,-170.7658081,-0.024375452,-0.105441332,9.43784523,1.262230992,-1.365597248,0.445777327,-0.086425781,-0.416015625,-1.034912109, 
6,1368095480,-0.596675336,0.072584122,-170.7614136,-0.03907137,-0.112945877,9.41044426,1.263947248,-1.391775012,0.51462841,-0.086181641,-0.417480469,-1.03125, 
7,1368103813,-0.586997271,0.065971799,-170.7480469,-0.044550821,-0.113005668,9.419651031,1.332798243,-1.380325556,0.521134436,-0.086914063,-0.412109375,-1.029296875, 
8,1368112146,-0.576500297,0.054863606,-170.7439117,-0.038939197,-0.098326951,9.410493851,1.25900352,-1.337703347,0.483455837,-0.086914063,-0.412109375,-1.03125, 
9,1368120479,-0.574760079,0.061892375,-170.7221222,-0.01327257,-0.109397151,9.448936462,1.293467879,-1.375381947,0.517894268,-0.0859375,-0.414550781,-1.033691406, 
10,1368128812,-0.564274371,0.050951209,-170.717514,-0.009665462,-0.109526172,9.399525642,1.257441282,-1.317980409,0.539192438,-0.085205078,-0.416992188,-1.030273438, 
11,1368137145,-0.561184406,0.053886879,-170.7151337,-0.026202956,-0.118850626,9.399621964,1.304827452,-1.426277399,0.460556716,-0.088623047,-0.416503906,-1.035888672, 
12,1368145478,-0.54968071,0.041339975,-170.710907,-0.011426338,-0.095101014,9.42701149,1.38023591,-1.509882331,0.493317366,-0.086914063,-0.414550781,-1.030761719, 
13,1368153811,-0.54936868,0.040019281,-170.6887512,-0.027572442,-0.105910674,9.416144371,1.227882385,-1.347513795,0.488425076,-0.0859375,-0.415527344,-1.032714844, 
14,1368162144,-0.538741052,0.028779389,-170.6844635,-0.001936245,-0.091409184,9.425200462,1.275396705,-1.354070783,0.501462698,-0.086914063,-0.415039063,-1.032714844, 
15,1368170477,-0.536681294,0.023764569,-170.6873322,-0.001942804,-0.106448129,9.403305054,1.158928752,-1.568718195,0.524976492,-0.085449219,-0.413574219,-1.031738281, 
16,1368178810,-0.526248276,0.012336893,-170.6825562,-0.00714643,-0.095460288,9.417969704,1.252574325,-1.375279307,0.558889747,-0.088623047,-0.416015625,-1.033203125, 
17,1368187143,-0.521918595,0.004318968,-170.6888885,-0.012555646,-0.11025928,9.421748161,1.248988509,-1.485318303,0.442703635,-0.086181641,-0.416015625,-1.032226563, 
18,1368195476,-0.511060536,-0.007893098,-170.6854706,-0.014219245,-0.119477831,9.42548275,1.302983403,-1.469078779,0.395035505,-0.084960938,-0.412597656,-1.03515625, 
19,1368203809,-0.506955564,-0.015997764,-170.6933899,-0.030455366,-0.093900479,9.412672043,1.199783564,-1.427942276,0.418139577,-0.0859375,-0.416015625,-1.033203125, 
20,1368212142,-0.495682299,-0.028055826,-170.6894379,-0.024865996,-0.104949452,9.4438591,1.35234201,-1.450918436,0.462068021,-0.087402344,-0.414550781,-1.032714844, 
21,1368220475,-0.491259009,-0.034540199,-170.6984253,-0.039323512,-0.103034958,9.440314293,1.28195405,-1.37376833,0.488322616,-0.087402344,-0.411621094,-1.030273438, 
22,1368228808,-0.481014252,-0.046149615,-170.6942139,-0.035837695,-0.101537533,9.389057159,1.231135368,-1.398306727,0.493419796,-0.087890625,-0.414550781,-1.031738281, 
23,1368237141,-0.475580782,-0.051518265,-170.6890259,-0.033985481,-0.11805281,9.40930748,1.394759059,-1.43147707,0.384866714,-0.081542969,-0.416015625,-1.029296875, 
24,1368245474,-0.464689165,-0.063479088,-170.6841278,-0.026501955,-0.112553693,9.411129951,1.306723118,-1.440826535,0.575308621,-0.086181641,-0.416503906,-1.03125, 
25,1368253807,-0.460565597,-0.067436859,-170.7250977,-0.029981485,-0.09971755,9.405635834,1.291738629,-1.393516779,0.467011511,-0.086425781,-0.415039063,-1.031738281, 
26,1368262140,-0.450271964,-0.078626841,-170.7212219,-0.029724538,-0.105085187,9.431344032,1.236027598,-1.34592545,0.453922629,-0.0859375,-0.4140625,-1.033203125, 
27,1368270473,-0.445810854,-0.082213193,-170.7274628,-0.020797674,-0.11087548,9.411221504,1.331133485,-1.383681059,0.486555248,-0.091064453,-0.415039063,-1.032226563, 
28,1368278806,-0.435802728,-0.09435863,-170.7228699,-0.013079423,-0.092514038,9.444076538,1.203343868,-1.462060571,0.537988544,-0.085449219,-0.411621094,-1.036865234, 
29,1368287139,-0.431725234,-0.099640518,-170.7016602,-0.027720481,-0.100112364,9.429602623,1.291354418,-1.583881736,0.406946123,-0.086914063,-0.413085938,-1.034179688, 
