PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
1,568311627,-1.645224929,-0.75070399,-106.8552017,0.125016108,-0.247564033,9.554501534,2.388284206,-4.16651392,0.609631658,-0.875,-0.2734375,-1.509277344, 
2,568319960,-1.634113193,-0.771792293,-106.853157,0.100931898,-0.249501735,9.355372429,2.611153841,-3.933424473,0.603791595,-0.872070313,-0.273925781,-1.502929688, 
3,568328293,-1.627278447,-0.791917205,-106.8532867,0.121392317,-0.241787463,9.23156929,2.09314394,-3.83525753,0.520225167,-0.875,-0.270507813,-1.506835938, 
4,568336626,-1.626939178,-0.816711247,-106.8506851,0.11299365,-0.235011429,9.182591438,1.31970942,-4.378548622,0.657402217,-0.875,-0.272460938,-1.507324219, 
5,568344959,-1.632600307,-0.840889156,-106.8490677,0.064095296,-0.214428216,9.22524929,0.597234309,-4.325834274,0.720669329,-0.876464844,-0.270507813,-1.506347656, 
6,568353292,-1.6370157,-0.850839019,-106.8417358,0.099471517,-0.199228287,9.342811584,0.756529331,-2.616033077,1.274679661,-0.874511719,-0.270019531,-1.506835938, 
7,568361625,-1.641222835,-0.856719673,-106.8285446,0.164199755,-0.19961378,9.39891243,0.793336868,-2.170703888,2.167950392,-0.874023438,-0.271484375,-1.508300781, 
8,568369958,-1.645172715,-0.873785198,-106.8132935,0.17236948,-0.267136276,9.442227364,0.827864885,-3.495933056,2.199507236,-0.876464844,-0.272949219,-1.505859375, 
9,568378291,-1.649327636,-0.898465514,-106.7979736,0.240683824,-0.237908453,9.502547264,0.802852571,-4.43424654,2.355100632,-0.875488281,-0.269042969,-1.507324219, 
10,568386624,-1.649176598,-0.92995888,-106.7778473,0.151115566,-0.266483873,9.54658699,1.331095099,-5.243375301,2.731886625,-0.875976563,-0.268554688,-1.506835938, 
11,568394957,-1.646133542,-0.968349874,-106.7597961,0.162189811,-0.264099926,9.565880775,1.675619245,-6.087095261,2.643529892,-0.877441406,-0.272949219,-1.505371094, 
12,568403290,-1.637476802,-1.016040206,-106.7375259,0.199557915,-0.304895312,9.524718285,2.358981848,-7.194271564,2.935968161,-0.878417969,-0.269042969,-1.505371094, 
13,568411623,-1.623784304,-1.06344974,-106.7174072,0.178251922,-0.291039377,9.523475647,2.961018085,-7.175904274,2.855129004,-0.876953125,-0.26953125,-1.508300781, 
14,568419956,-1.608279109,-1.094989657,-106.7004852,0.21257633,-0.323510349,9.466645241,3.173232317,-5.237291336,2.349734783,-0.87890625,-0.270019531,-1.505371094, 
15,568428289,-1.594566226,-1.112874746,-106.6949005,0.272087395,-0.334741801,9.405496597,2.932932615,-3.583931446,1.212424278,-0.880859375,-0.270996094,-1.504394531, 
16,568436622,-1.584169626,-1.13268292,-106.6910934,0.26154539,-0.331664801,9.379834175,2.530276775,-3.78618145,0.82037282,-0.8828125,-0.270507813,-1.50390625, 
17,568444955,-1.578147173,-1.16553843,-106.6863708,0.202977687,-0.281697094,9.350416183,2.009308815,-5.37536478,1.064041018,-0.881835938,-0.270996094,-1.50390625, 
18,568453288,-1.565872908,-1.19983983,-106.6728287,0.199758515,-0.2733275,9.330178261,2.780758381,-5.555893421,1.939304829,-0.879394531,-0.271972656,-1.506347656, 
19,568461621,-1.556640625,-1.226143122,-106.6593323,0.144383863,-0.273073375,9.372135162,2.417202473,-4.618630886,2.136137486,-0.880859375,-0.270996094,-1.505859375, 
20,568469954,-1.551940918,-1.263480902,-106.64254,0.198751092,-0.237331033,9.298200607,1.881173253,-5.930873394,2.322839737,-0.881347656,-0.271484375,-1.503417969, 
21,568478287,-1.540873766,-1.313396931,-106.6240616,0.268133789,-0.207842484,9.361112595,2.655299425,-7.466050148,2.659730673,-0.883789063,-0.271484375,-1.505859375, 
22,568486620,-1.522156835,-1.357477307,-106.5976791,0.303440094,-0.194407806,9.337457657,3.593472242,-6.769624233,3.450339794,-0.880371094,-0.270019531,-1.503417969, 
23,568494953,-1.487071991,-1.374191523,-106.5696716,0.238769531,-0.198217496,9.266091347,5.561094284,-3.50763917,3.737514019,-0.884765625,-0.2734375,-1.503417969, 
24,568503286,-1.44393456,-1.361273766,-106.5452576,0.216571569,-0.207195461,9.332784653,6.521268845,0.078110613,3.396485806,-0.883300781,-0.274414063,-1.501464844, 
25,568511619,-1.40361762,-1.348438859,-106.5198288,0.250966311,-0.172677979,9.558771133,6.18540287,0.045260355,3.685991049,-0.884277344,-0.274414063,-1.500976563, 
26,568519952,-1.356752753,-1.35541749,-106.4898376,0.242287114,-0.159927547,9.604943275,6.983311176,-2.320124865,4.007142067,-0.882324219,-0.2734375,-1.498535156, 
27,568528285,-1.307375431,-1.380426764,-106.462471,0.2717053,-0.227611497,9.618741035,7.278913975,-4.495196342,3.812922955,-0.884277344,-0.274414063,-1.501953125, 
28,568536618,-1.261983275,-1.422993064,-106.4343643,0.305021584,-0.178202406,9.653460503,6.803333282,-6.580041409,3.683929205,-0.887695313,-0.273925781,-1.502929688, 
29,568544951,-1.216865182,-1.467936039,-106.4119034,0.228949875,-0.194851518,9.50961113,6.757612705,-6.8673563,3.174257278,-0.884277344,-0.276367188,-1.499511719, 
30,568553284,-1.17154026,-1.506180525,-106.391449,0.259824365,-0.134500593,9.539056778,6.777719975,-6.035790443,2.788455725,-0.888183594,-0.274414063,-1.500488281, 
31,568561617,-1.112036347,-1.55872035,-106.3586121,0.298523843,-0.020438453,9.659851074,8.522202492,-7.798945904,4.413447857,-0.887207031,-0.275390625,-1.497558594, 
32,568569950,-1.048597813,-1.637116551,-106.3181076,0.311077803,-0.162685663,9.537288666,9.021834373,-10.89514542,5.111616135,-0.889648438,-0.273925781,-1.498535156, 
33,568578283,-1.002268553,-1.726608992,-106.2812119,0.367061824,-0.20875977,9.438056946,6.967150688,-12.23283863,4.838555813,-0.891113281,-0.276367188,-1.498046875, 
34,568586616,-0.975959659,-1.803999662,-106.2507401,0.3389709,-0.163301602,9.445864677,4.543478966,-10.74638844,3.925484419,-0.893554688,-0.276855469,-1.49609375, 
35,568594949,-0.981795013,-1.849136114,-106.2319565,0.362219721,-0.204467684,9.322642326,0.648270786,-6.870058537,2.753299952,-0.891113281,-0.275878906,-1.495605469, 
36,568603282,-0.996155024,-1.881015778,-106.2192841,0.292431444,-0.168035686,9.334993362,-0.400914043,-5.248997688,1.885553598,-0.892089844,-0.276855469,-1.495117188, 
37,568611615,-1.014657736,-1.906279087,-106.2174377,0.246648565,-0.176021188,9.278821945,-0.935419083,-4.450102806,0.765455902,-0.891601563,-0.275878906,-1.498535156, 
38,568619948,-1.028635263,-1.923787713,-106.2220459,0.24474743,-0.151209578,9.241211891,-0.422327489,-3.488120794,-0.160857379,-0.893554688,-0.274902344,-1.497558594, 
39,568628281,-1.047555566,-1.951334715,-106.2263718,0.198350206,-0.168504357,9.278097153,-1.012428164,-4.712865353,0.013357824,-0.896484375,-0.278320313,-1.497558594, 
40,568636614,-1.068587542,-1.992529273,-106.2264633,0.292244285,-0.196693435,9.327900887,-1.249705791,-6.338588715,0.326017976,-0.895996094,-0.274902344,-1.49609375, 
41,568644947,-1.088599563,-2.045051813,-106.2190857,0.34240365,-0.201065928,9.351523399,-1.099785805,-7.732157707,1.196697235,-0.896484375,-0.275390625,-1.491699219, 
42,568653280,-1.107201695,-2.09323287,-106.2062454,0.446352869,-0.226957038,9.370677948,-0.902645707,-7.206923485,1.857710958,-0.896972656,-0.275878906,-1.495605469, 
43,568661613,-1.11719048,-2.127309799,-106.1915665,0.326615095,-0.278110534,9.394330978,0.143862337,-5.537874222,2.280268669,-0.8984375,-0.276855469,-1.49609375, 
44,568669946,-1.111648798,-2.155325413,-106.1761398,0.254460245,-0.234199017,9.474728584,2.008002281,-4.794844151,2.212532043,-0.896972656,-0.273925781,-1.495117188, 
